id,year_recorded,month_recorded,day_recorded,age_of_pump,date_recorded_distance_days_20140101,funder_num,installer_num,wpt_name_num,basin_num,subvillage_num,region_num,lga_num,ward_num,public_meeting_num,recorded_by_num,scheme_management_num,scheme_name_num,permit_num,extraction_type_num,extraction_type_group_num,extraction_type_class_num,management_num,management_group_num,payment_num,payment_type_num,water_quality_num,quality_group_num,quantity_num,quantity_group_num,source_num,source_type_num,source_class_num,waterpoint_type_num,waterpoint_type_group_num,funder_freq,installer_freq,basin_freq,region_freq,lga_freq,ward_freq,scheme_name_freq,funder_clean_num,installer_clean_num,funder_clean_freq,installer_clean_freq,5_nearest_functional,5_nearest_need_repair,5_nearest_broken,10_nearest_functional,10_nearest_need_repair,10_nearest_broken,20_nearest_functional,20_nearest_need_repair,20_nearest_broken,40_nearest_functional,40_nearest_need_repair,40_nearest_broken
419,2013,10,3,7,90,486,229,9468,5,19064,6,16,955,1,0,10,1198,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1,765,765,11143,5494,780,86,114,480,228,765,765,5,0,0,9,0,1,17,0,3,36,0,4
45750,2013,2,27,11,308,2108,2296,43411,5,18751,8,108,1840,1,0,12,2838,1,9,6,3,7,4,0,2,6,2,0,0,5,3,1,6,5,1562,517,11143,1972,372,8,35258,2085,2065,1563,867,0,0,5,3,0,7,8,1,11,20,6,14
653,2012,10,11,2012,447,2106,202,25740,0,1952,19,19,446,1,0,2,2768,1,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1,1701,1,9642,2466,419,7,76,2083,181,1701,4,0,0,5,0,0,10,0,0,20,2,0,38
14017,2011,7,29,2011,887,1090,442,3460,4,3726,13,45,99,1,0,7,1698,1,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1,728,21751,12871,3897,788,21,10,1081,423,728,21758,0,0,5,2,0,8,6,0,14,20,0,20
44607,2011,3,2,27,1036,293,383,45683,6,21263,3,24,1369,1,0,7,1515,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1,3907,690,9987,6599,914,79,50,288,345,3907,786,4,0,1,8,0,2,18,0,2,34,0,6
40228,2013,6,3,24,212,293,442,11335,7,12742,16,111,1590,1,0,7,1789,1,3,1,0,7,4,2,0,6,2,1,1,6,4,1,2,1,3907,21751,5587,3306,876,52,18,288,423,3907,21758,4,1,0,8,2,0,12,6,2,18,15,7
27714,2011,2,24,2011,1042,2140,2372,8018,6,265,14,53,530,1,0,7,2838,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3,4504,4532,9987,3331,170,134,35258,0,0,-1,-1,3,2,0,6,3,1,14,4,2,27,7,6
28785,2011,3,11,33,1027,507,442,32979,5,9839,20,52,1797,1,0,7,2483,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1,11299,21751,11143,3186,870,39,33,506,423,11299,21758,3,0,2,7,0,3,15,0,5,19,0,21
28330,2012,10,6,2012,452,1589,442,42672,3,927,17,9,1831,1,0,3,2838,1,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1,338,21751,8052,6293,653,43,35258,1571,423,338,21758,3,0,2,7,0,3,13,2,5,25,3,12
18532,2013,2,2,31,333,444,566,32375,7,8895,12,116,157,1,0,10,192,1,14,10,5,7,4,0,2,6,2,0,0,3,0,0,1,1,281,267,5587,2144,346,14,704,438,495,281,267,0,0,5,0,1,9,0,3,17,3,7,30
69961,2013,3,12,3,295,0,1,43411,8,7385,1,119,2065,1,0,5,2838,0,14,10,5,2,1,0,2,6,2,1,1,3,0,0,1,1,-1,-1,7577,1020,266,12,35258,0,0,-1,-1,1,0,4,4,0,6,9,0,11,20,0,20
55083,2011,3,7,3,1031,376,442,45683,6,11106,3,91,2086,1,0,7,1172,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1,605,21751,9987,6599,3128,43,22,372,423,605,21758,3,1,1,5,2,3,11,2,7,30,2,8
8691,2013,2,4,8,331,1841,442,29605,3,6144,5,31,1391,1,0,7,2838,1,9,6,3,7,4,6,6,3,3,1,1,7,5,0,6,5,1136,21751,8052,3533,1015,24,35258,1821,423,1136,21758,0,0,5,0,0,10,1,0,19,7,0,33
30331,2013,2,9,43,326,2140,2372,368,0,14127,18,109,1531,1,0,7,1201,2,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1,4504,4532,9642,2536,1202,29,490,0,0,-1,-1,0,0,5,4,1,5,7,3,10,15,3,22
70970,2012,10,7,2012,451,1196,442,44461,4,2551,17,58,40,1,0,9,2838,0,8,5,1,11,4,0,2,6,2,1,1,7,5,0,4,3,1,21751,12871,6293,1024,81,35258,1187,423,1,21758,4,0,1,8,0,2,18,0,2,32,1,7
61136,2011,2,23,3,1043,1933,442,28627,6,13312,3,91,357,1,0,7,520,0,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1,56,21751,9987,6599,3128,78,8,1912,423,56,21758,4,0,1,7,0,3,11,0,9,19,1,20
28799,2013,2,18,4,317,482,442,42905,7,9631,16,111,1072,1,0,7,1767,1,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1,122,21751,5587,3306,876,159,27,476,423,122,21758,3,0,2,4,0,6,6,0,14,20,1,19
46825,2011,4,10,2011,997,2064,1179,19232,8,1751,2,14,1411,1,0,7,504,0,7,4,2,7,4,4,5,4,4,0,0,3,0,0,2,1,739,57,7577,2779,467,64,37,2042,1258,739,57,1,0,4,4,0,6,8,1,11,11,4,25
44718,2013,2,4,2013,331,384,442,39582,4,16983,17,5,904,1,0,9,2838,0,8,5,1,11,4,5,3,5,4,1,1,7,5,0,4,3,1012,21751,12871,6293,1485,51,35258,380,423,1012,21758,3,1,1,6,2,2,12,3,5,23,8,9
37350,2013,2,20,11,315,115,154,45426,0,10749,8,41,1753,1,0,7,29,0,3,1,0,7,4,0,2,6,2,3,3,5,3,1,1,1,14,7,9642,1972,253,9,12,115,150,14,7,0,0,5,3,1,6,4,3,13,9,3,28
65738,2013,12,3,11,29,1442,482,840,0,2126,0,27,1794,1,0,7,412,1,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1,1034,356,9642,4111,402,75,59,1430,402,1034,476,4,0,1,8,0,2,18,0,2,38,0,2
3271,2012,10,29,2012,429,507,442,3458,0,19368,19,94,334,0,0,7,2838,1,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1,11299,21751,9642,2466,730,31,35258,506,423,11299,21758,1,0,4,2,0,8,6,0,14,14,0,26
42658,2012,11,5,2012,422,1892,1963,43411,3,3060,19,124,423,1,0,7,2838,1,0,0,1,7,4,0,2,6,2,3,3,7,5,0,4,3,71,72,8052,2466,418,38,35258,1871,1837,71,72,1,1,3,3,1,6,7,2,11,12,2,26
67523,2013,3,13,15,294,1442,482,18888,0,7007,0,27,1794,1,0,7,773,1,3,1,0,7,4,4,5,0,0,1,1,6,4,1,2,1,1034,356,9642,4111,402,75,39,1430,402,1034,476,4,0,1,9,0,1,19,0,1,39,0,1
37034,2011,3,27,33,1011,1961,442,43411,6,20564,3,91,369,1,0,8,2860,1,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1,1324,21751,9987,6599,3128,89,284,1939,423,1324,21758,3,0,2,7,1,2,15,2,3,29,2,9
42432,2011,7,4,33,912,1961,442,10105,6,16535,3,91,1186,1,0,8,2861,1,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1,1324,21751,9987,6599,3128,292,323,1939,423,1324,21758,4,0,1,7,2,1,17,2,1,32,5,3
27420,2011,3,14,40,1024,1105,442,6946,5,11194,20,68,1074,1,0,7,233,1,3,1,0,7,4,0,2,0,0,2,2,8,6,0,1,1,180,21751,11143,3186,347,167,14,1096,423,180,21758,5,0,0,9,0,1,19,0,1,37,0,3
707,2013,2,22,41,313,507,308,15054,5,1969,6,84,198,1,0,8,905,0,3,1,0,10,4,3,1,6,2,1,1,8,6,0,1,1,11299,175,11143,5494,642,29,59,506,227,11299,175,2,1,2,2,1,7,5,2,13,16,3,21
48489,2011,2,27,27,1039,1267,442,43411,8,13722,11,83,280,1,0,7,330,1,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1,189,21751,7577,5038,846,83,36,1258,423,189,21758,3,0,2,4,0,6,6,3,11,11,10,19
51008,2011,3,30,2011,1008,293,384,45139,2,3089,10,60,2048,1,0,7,2838,0,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1,3907,1305,3059,5758,587,62,35258,288,346,3907,1306,4,1,0,6,1,3,7,2,11,11,6,23
72562,2013,2,6,7,329,679,832,43828,7,21353,12,77,1568,1,0,7,2054,1,14,10,5,7,4,4,5,6,2,1,1,3,0,0,2,1,353,122,5587,2144,512,37,8,671,728,353,306,1,0,4,5,0,5,11,0,9,22,0,18
10275,2011,3,19,28,1019,507,442,34152,5,10959,20,80,1664,1,0,7,2838,0,4,2,1,7,4,0,2,6,2,2,2,7,5,0,4,3,11299,21751,11143,3186,424,53,35258,506,423,11299,21758,3,0,2,4,0,6,10,0,10,26,0,14
53540,2012,10,12,2012,446,2106,2289,16499,4,5575,17,104,2044,1,0,7,752,1,9,6,3,7,4,0,2,6,2,1,1,3,0,0,2,1,1701,123,12871,6293,751,45,13,2083,2060,1701,202,0,0,5,0,1,9,2,1,17,15,1,24
43291,2011,8,14,2011,871,1560,1722,40332,4,18083,13,45,1635,1,0,7,2838,1,15,11,1,7,4,0,2,7,5,0,0,7,5,0,4,3,24,18,12871,3897,788,13,35258,1544,1554,24,23,4,0,1,6,0,4,12,0,8,27,1,12
8813,2011,7,28,2011,888,1090,442,4956,4,4304,13,45,243,1,0,7,647,1,14,10,5,7,4,4,5,6,2,1,1,2,4,1,2,1,728,21751,12871,3897,788,10,11,1081,423,728,21758,4,0,1,6,0,4,11,0,9,15,0,25
62343,2011,4,3,2011,1004,507,304,1078,6,3086,10,60,390,1,0,7,2838,1,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1,11299,135,9987,5758,587,48,35258,506,225,11299,933,4,0,1,7,0,3,10,1,9,23,1,16
1649,2012,10,15,2012,443,1126,1318,5596,3,20520,19,124,1998,1,0,7,2838,1,4,2,1,7,4,5,3,6,2,1,1,3,0,0,4,3,4,2,8052,2466,418,18,35258,1117,1172,4,2,3,0,2,5,0,5,8,0,12,14,1,25
8822,2013,3,4,6,303,658,759,34694,5,6407,6,101,1648,1,0,11,2140,1,14,10,5,7,4,4,5,4,4,2,2,3,0,0,1,1,20,20,11143,5494,1106,89,17,649,706,20,20,4,1,0,8,1,1,14,3,3,30,5,5
10352,2011,4,12,2011,995,1495,1613,14208,6,11171,10,60,2016,0,0,7,2838,0,3,1,0,11,4,5,3,6,2,1,1,6,4,1,1,1,410,92,9987,5758,587,88,35258,1483,1496,411,260,0,1,4,1,2,7,7,3,10,21,5,14
50878,2012,10,16,2012,442,507,637,38496,4,15185,17,58,40,1,0,11,1434,0,3,1,0,4,0,3,1,6,2,1,1,0,1,1,1,1,11299,2282,12871,6293,1024,81,9,506,557,11299,2367,4,1,0,7,1,2,16,1,3,28,3,9
15266,2011,7,23,2011,893,2140,2372,15265,1,7427,10,100,793,1,0,7,644,2,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1,4504,4532,6332,5758,1381,98,858,0,0,-1,-1,5,0,0,10,0,0,18,2,0,33,5,2
51956,2011,3,18,37,1020,507,442,43828,5,20801,20,52,1301,1,0,7,1927,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1,11299,21751,11143,3186,870,21,16,506,423,11299,21758,2,1,2,4,3,3,7,3,10,16,5,19
44099,2013,2,9,21,326,293,384,35068,7,16845,16,120,860,1,0,7,2838,0,15,11,1,7,4,3,1,6,2,2,2,3,0,0,4,3,3907,1305,5587,3306,539,26,35258,288,346,3907,1306,2,0,3,7,0,3,14,0,6,29,1,10
59,2012,10,15,2012,443,387,442,10835,0,19398,17,40,1952,1,0,7,2124,1,3,1,0,7,4,4,5,6,2,2,2,8,6,0,2,1,59,21751,9642,6293,503,22,13,383,423,59,21758,1,0,4,1,0,9,2,1,17,7,5,28
51359,2013,1,19,11,347,697,442,40567,7,13672,7,37,1773,2,0,7,2321,0,14,10,5,7,4,6,6,6,2,4,4,3,0,0,2,1,317,21751,5587,1920,497,36,2,688,423,317,21758,1,1,3,2,1,7,5,2,13,11,6,23
15962,2011,8,1,2011,884,573,721,1330,4,17875,13,15,1727,1,0,7,192,1,9,6,3,7,4,6,6,7,5,0,0,3,0,0,6,5,2782,1070,12871,3897,603,57,704,566,634,2782,1768,3,1,1,6,2,2,12,3,5,23,8,9
17853,2011,8,7,12,878,573,442,8435,4,8005,13,121,142,1,0,12,2838,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,5,4,2782,21751,12871,3897,442,27,35258,566,423,2782,21758,2,2,1,6,3,1,13,5,2,23,8,9
42040,2013,3,30,43,277,507,637,28381,5,5366,6,73,1044,1,0,8,1442,1,3,1,0,10,4,0,2,6,2,2,2,8,6,0,1,1,11299,2282,11143,5494,1566,59,36,506,557,11299,2367,0,0,5,1,0,9,2,1,17,5,9,26
72243,2013,2,12,23,323,293,384,13337,6,15917,16,86,1375,1,0,9,2838,0,15,11,1,11,4,5,3,6,2,1,1,7,5,0,4,3,3907,1305,9987,3306,845,243,35258,288,346,3907,1306,4,0,1,8,0,2,13,1,6,21,1,18
63653,2013,3,28,9,279,2106,442,42560,5,48,0,0,1767,1,0,7,1632,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1,1701,21751,11143,4111,1521,62,31,2083,423,1701,21758,0,1,4,1,1,8,4,2,14,18,2,20
26510,2012,10,13,2012,445,2108,2296,44595,0,4213,17,58,113,1,0,9,2838,0,8,5,1,11,4,1,4,6,2,1,1,7,5,0,4,3,1562,517,9642,6293,1024,88,35258,2085,2065,1563,867,4,0,1,7,0,3,9,1,10,27,1,12
72053,2011,8,1,2011,884,257,1993,38541,4,8021,4,89,949,1,0,7,2838,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,6,5,139,395,12871,4174,854,32,35258,254,1876,139,395,0,1,4,2,1,7,10,1,9,24,3,13
29351,2012,10,19,1,439,1409,651,43898,4,19886,9,118,263,1,0,7,2408,1,0,0,1,7,4,3,1,6,2,1,1,7,5,0,4,3,10,18,12871,2451,264,4,16,1397,573,10,19,4,0,1,7,0,3,11,0,9,20,0,20
51897,2013,1,29,23,337,2140,2372,35281,0,10257,18,109,1430,1,0,7,2838,2,9,6,3,7,4,6,6,7,5,0,0,7,5,0,6,5,4504,4532,9642,2536,1202,80,35258,0,0,-1,-1,3,2,0,6,3,1,13,3,4,25,3,12
20376,2011,3,4,2011,1034,293,442,45683,6,9588,3,79,321,1,0,7,2838,1,15,11,1,7,4,2,0,6,2,1,1,1,0,0,4,3,3907,21751,9987,6599,647,24,35258,288,423,3907,21758,3,0,2,4,0,6,10,0,10,21,0,19
26804,2011,3,23,1,1015,1738,442,35534,6,4024,11,122,402,1,0,12,2838,1,8,5,1,7,4,3,1,6,2,1,1,7,5,0,4,3,73,21751,9987,5038,841,50,35258,1719,423,73,21758,3,0,2,6,0,4,11,0,9,30,0,10
67303,2013,3,19,25,288,507,442,18062,5,20748,0,0,1296,1,0,7,1236,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,6,5,11299,21751,11143,4111,1521,111,225,506,423,11299,21758,2,2,1,5,3,2,13,3,4,29,3,8
69780,2013,2,18,51,317,507,478,19029,5,5085,6,96,744,1,0,0,947,1,3,1,0,0,0,3,1,6,2,2,2,8,6,0,1,1,11299,490,11143,5494,747,36,8,506,397,11299,1186,0,0,5,1,0,9,3,0,17,8,0,32
45374,2013,2,16,2013,319,384,442,32938,4,9953,13,54,1665,2,0,9,2838,0,8,5,1,11,4,6,6,6,2,1,1,7,5,0,4,3,1012,21751,12871,3897,1049,153,35258,380,423,1012,21758,3,1,1,6,2,2,12,3,5,23,8,9
54665,2013,3,17,5,290,486,229,19953,5,17130,6,16,955,1,0,10,1232,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1,765,765,11143,5494,780,86,81,480,228,765,765,2,0,3,7,0,3,12,0,8,29,0,11
39341,2013,2,11,35,324,507,637,24875,3,14062,5,28,1447,1,0,11,2838,0,6,10,5,7,4,1,4,6,2,1,1,3,0,0,2,1,11299,2282,8052,3533,1322,19,35258,506,557,11299,2367,0,0,5,1,0,9,3,2,15,12,12,16
8869,2013,2,3,27,332,293,384,27100,7,20565,16,120,1546,1,0,7,18,0,3,1,0,7,4,3,1,6,2,1,1,6,4,1,1,1,3907,1305,5587,3306,539,35,16,288,346,3907,1306,0,5,0,0,10,0,4,11,5,10,11,19
20691,2011,4,8,2011,999,808,894,41929,2,15983,10,62,1806,1,0,7,2838,0,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3,1623,1120,3059,5758,1286,121,35258,799,858,1623,1135,3,0,2,4,1,5,7,1,12,20,4,16
19693,2013,2,19,5,316,28,77,1344,0,19487,8,17,283,1,0,7,859,1,3,1,0,7,4,0,2,6,2,0,0,8,6,0,1,1,327,106,9642,1972,344,16,205,28,32,327,177,0,0,5,0,0,10,6,0,14,26,0,14
14321,2011,8,20,26,865,1573,442,734,2,8720,15,113,851,1,0,7,2838,0,4,2,1,7,4,0,2,6,2,1,1,3,0,0,4,3,390,21751,3059,2242,641,24,35258,1557,423,390,21758,1,0,4,2,1,7,5,2,13,12,3,25
63059,2013,2,8,2013,327,507,637,33464,4,15483,17,58,1030,1,0,9,1349,0,3,1,0,11,4,4,5,6,2,2,2,3,0,0,2,1,11299,2282,12871,6293,1024,42,11,506,557,11299,2367,4,1,0,5,2,3,8,2,10,18,5,17
67403,2011,3,5,2,1033,507,442,21005,5,6415,20,80,639,1,0,7,1819,0,3,1,0,7,4,0,2,6,2,2,2,3,0,0,2,1,11299,21751,11143,3186,424,37,33,506,423,11299,21758,5,0,0,10,0,0,19,0,1,30,0,10
28912,2013,3,21,5,286,486,229,13486,5,18710,6,16,955,1,0,10,1232,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1,765,765,11143,5494,780,86,81,480,228,765,765,5,0,0,10,0,0,20,0,0,39,0,1
12549,2011,3,10,2011,1028,2106,633,42518,0,10731,2,4,294,1,0,7,2149,1,7,4,2,7,4,4,5,6,2,1,1,3,0,0,1,1,1701,276,9642,2779,279,13,5,2083,551,1701,276,2,0,3,3,0,7,4,0,16,17,0,23
24328,2013,3,6,41,301,507,308,8883,5,10948,6,84,855,1,0,10,263,1,3,1,0,9,4,3,1,6,2,2,2,8,6,0,6,5,11299,175,11143,5494,642,117,50,506,227,11299,175,1,1,3,4,2,4,9,3,8,20,4,16
13750,2012,10,28,2012,430,2066,2264,3531,3,9893,19,123,1446,1,0,7,2838,1,0,0,1,7,4,0,2,6,2,1,1,7,5,0,4,3,83,6,8052,2466,489,43,35258,2046,2015,118,104,1,0,4,4,0,6,8,0,12,20,0,20
1574,2011,3,23,42,1015,507,442,22203,5,196,20,52,87,1,0,7,1474,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1,11299,21751,11143,3186,870,14,10,506,423,11299,21758,1,1,3,3,2,5,10,4,6,24,6,10
44149,2011,7,8,2011,908,573,442,32057,4,950,4,66,565,1,0,7,2838,1,15,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3,2782,21751,12871,4174,325,81,35258,566,423,2782,21758,3,0,2,5,2,3,8,5,7,16,9,15
53917,2011,7,10,2011,906,573,442,43411,4,18398,4,26,1683,1,0,8,1170,1,3,1,0,7,4,2,0,6,2,1,1,8,6,0,1,1,2782,21751,12871,4174,967,60,32,566,423,2782,21758,4,1,0,9,1,0,17,1,2,34,2,4
22705,2013,6,3,6,212,507,342,4239,5,123,0,65,1006,1,0,7,1220,1,3,1,0,7,4,6,6,6,2,2,2,8,6,0,1,1,11299,687,11143,4111,1244,227,149,506,293,11299,690,5,0,0,10,0,0,18,0,2,34,0,6
66465,2012,10,25,2012,433,1589,442,45426,3,17871,17,9,1160,1,0,3,2838,1,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1,338,21751,8052,6293,653,57,35258,1571,423,338,21758,4,0,1,9,0,1,13,4,3,25,8,7
15644,2011,7,26,2011,890,1841,442,42713,4,4774,4,7,756,1,0,7,2838,1,3,1,0,7,4,0,2,6,2,2,2,5,3,1,1,1,1136,21751,12871,4174,622,16,35258,1821,423,1136,21758,4,0,1,6,1,3,10,4,6,21,10,9
20773,2011,3,30,2011,1008,507,301,9919,0,2685,2,42,270,1,0,7,402,0,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1,11299,195,9642,2779,644,14,9,506,221,11299,195,3,1,1,6,1,3,11,2,7,18,4,18
33092,2011,3,22,2011,1016,1491,1604,6257,6,6563,11,36,631,2,0,2,2838,1,3,1,0,1,1,0,2,6,2,1,1,8,6,0,1,1,291,219,9987,5038,1368,101,35258,1477,1489,291,222,4,0,1,9,0,1,19,0,1,39,0,1
54392,2013,2,15,1,320,1450,476,7720,5,16858,6,84,741,1,0,4,2260,0,2,8,2,4,0,2,0,7,5,1,1,0,1,1,1,1,13,663,11143,5494,642,14,13,1438,397,13,1186,5,0,0,10,0,0,18,0,2,25,1,14
37850,2011,3,20,1,1018,769,442,44268,8,15480,14,29,598,1,0,11,2753,1,7,4,2,7,4,4,5,6,2,1,1,6,4,1,2,1,92,21751,7577,3331,358,43,49,760,423,92,21758,5,0,0,9,1,0,19,1,0,36,1,3
5576,2011,2,14,3,1052,617,745,45683,6,20537,3,34,1405,1,0,7,2838,1,15,11,1,7,4,0,2,6,2,1,1,3,0,0,4,3,25,26,9987,6599,434,11,35258,609,673,25,26,1,0,4,2,0,8,6,0,14,13,1,26
60840,2013,2,13,15,322,1090,442,25714,0,19403,8,2,1049,1,0,7,1371,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1,728,21751,9642,1972,618,145,85,1081,423,728,21758,4,1,0,9,1,0,19,1,0,39,1,0
9971,2011,7,16,39,900,507,442,43626,2,14396,15,75,1670,0,0,11,1925,1,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1,11299,21751,3059,2242,852,69,8,506,423,11299,21758,1,0,4,3,1,6,5,5,10,9,9,22
57508,2011,3,16,15,1022,767,966,36135,8,19642,11,36,918,1,0,7,2838,1,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3,161,127,7577,5038,1368,71,35258,758,822,161,127,4,1,0,6,1,3,11,3,6,21,5,14
25872,2012,10,18,2012,440,2108,358,38043,0,14666,19,94,442,0,0,7,2838,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3,1562,26,9642,2466,730,33,35258,2085,309,1563,26,2,0,3,5,0,5,9,0,11,19,0,21
43978,2011,3,19,37,1019,507,339,45683,6,10357,3,55,1302,1,0,7,1343,0,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1,11299,1347,9987,6599,789,11,3,506,290,11299,1354,5,0,0,10,0,0,20,0,0,34,0,6
38181,2011,3,12,25,1026,507,339,45683,1,9434,3,55,394,1,0,7,1565,0,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1,11299,1347,6332,6599,789,35,6,506,290,11299,1354,5,0,0,10,0,0,19,0,1,36,0,4
24325,2011,3,14,5,1024,36,1000,26818,8,13808,11,83,219,1,0,7,2838,1,9,6,3,7,4,0,2,6,2,1,1,7,5,0,4,3,171,187,7577,5038,846,133,35258,35,898,171,260,3,0,2,6,0,4,11,0,9,20,2,18
2724,2011,7,12,2011,904,573,671,36358,4,10039,4,7,120,1,0,7,1993,1,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1,2782,679,12871,4174,622,67,88,566,634,2782,1768,0,0,5,2,3,5,9,6,5,20,9,11
34794,2011,7,22,33,894,507,442,20313,2,3288,15,75,1916,0,0,11,2593,1,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1,11299,21751,3059,2242,852,16,9,506,423,11299,21758,0,0,5,1,0,9,8,1,11,19,4,17
56525,2012,10,3,2012,455,24,2197,4788,0,4075,17,25,407,1,0,7,1214,1,3,1,0,7,4,4,5,6,2,1,1,8,6,0,2,1,34,496,9642,6293,1058,54,31,24,2037,34,498,1,0,4,2,0,8,7,0,13,16,2,22
